"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"365 everyday value aspirin","42681-7075-1","325 mg/1","TABLET, FILM COATED","ORAL","part343","Whole Foods Market, INC.","42681-7075","Aspirin","ASPIRIN","HUMAN OTC DRUG","08/23/2018","N/A","OTC MONOGRAPH NOT FINAL","100 TABLET, FILM COATED in 1 BOTTLE (42681-7075-1)","N/A","N/A","No","12/31/2019"
"7 Select Aspirin","10202-416-78","325 mg/1","TABLET, FILM COATED","ORAL","part343","7-Eleven","10202-416","Aspirin","ASPIRIN","HUMAN OTC DRUG","08/05/2014","N/A","OTC MONOGRAPH NOT FINAL","100 TABLET, FILM COATED in 1 BOTTLE (10202-416-78)","N/A","N/A","No","12/31/2019"
"7 Select Migraine Formula","10202-374-62","250 mg/1,                         250  mg/1,                         65  mg/1","TABLET, FILM COATED","ORAL","ANDA075794","7-Eleven","10202-374","Acetaminophen, Aspirin, Caffeine","ACETAMINOPHEN;  ASPIRIN;  CAFFEINE","HUMAN OTC DRUG","05/09/2014","N/A","ANDA","1 BOTTLE in 1 CARTON (10202-374-62)  > 24 TABLET, FILM COATED in 1 BOTTLE","N/A","N/A","No","12/31/2019"
"Acetaminophen, Aspirin, Caffeine","69842-541-17","250 mg/1,                         65  mg/1,                         250  mg/1","TABLET, FILM COATED","ORAL","part343","CVS Pharmacy, Inc.","69842-541","Acetaminophen, Aspirin, Caffeine","ACETAMINOPHEN;  CAFFEINE;  ASPIRIN","HUMAN OTC DRUG","06/22/2018","N/A","OTC MONOGRAPH NOT FINAL","300 TABLET, FILM COATED in 1 BOTTLE (69842-541-17)","N/A","N/A","No","12/31/2019"
"Acetaminophen, Aspirin, Caffeine","69842-541-06","250 mg/1,                         65  mg/1,                         250  mg/1","TABLET, FILM COATED","ORAL","part343","CVS Pharmacy, Inc.","69842-541","Acetaminophen, Aspirin, Caffeine","ACETAMINOPHEN;  CAFFEINE;  ASPIRIN","HUMAN OTC DRUG","06/22/2018","N/A","OTC MONOGRAPH NOT FINAL","200 TABLET, FILM COATED in 1 BOTTLE (69842-541-06)","N/A","N/A","No","12/31/2019"
"ACME FIRST AID Contains 404 PIECES","0924-1806-01","","KIT","","part333","Acme United Corp.","0924-1806","BENZALKONIUM CHLORIDE, LIDOCAINE, WATER, ISOPROPYL ALCOHOL, ASPIRIN, BENZOCAINE, ALCOHOL, BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE","","HUMAN OTC DRUG","04/27/2010","N/A","OTC MONOGRAPH FINAL","1 KIT in 1 KIT (0924-1806-01)  *  .9 g in 1 PACKAGE (52124-0004-1)  *  .8 mL in 1 PACKAGE (52124-0001-1)  *  10 mL in 1 BOTTLE (52124-0005-1)  *  .5 mL in 1 PACKAGE (52124-0002-1)  *  .5 mL in 1 PACKAGE (52124-0008-1)  *  2 TABLET, CHEWABLE in 1 PACKAGE (52124-0012-1)  *  .5 g in 1 TUBE (52124-0003-1)","N/A","N/A","No","12/31/2018"
"Adult Aspirin Regimen","70000-0218-1","81 mg/1","TABLET, COATED","ORAL","part343","Cardinal Health","70000-0218","Aspirin","ASPIRIN","HUMAN OTC DRUG","07/25/2014","N/A","OTC MONOGRAPH NOT FINAL","1 BOTTLE in 1 CARTON (70000-0218-1)  > 36 TABLET, COATED in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Adult Low Dose Aspirin","0440-7135-09","81 mg/1","TABLET, DELAYED RELEASE","ORAL","part343","Liberty Pharmaceuticals, Inc.","0440-7135","Aspirin","ASPIRIN","HUMAN OTC DRUG","01/12/2007","N/A","OTC MONOGRAPH FINAL","1 BOTTLE, PLASTIC in 1 CARTON (0440-7135-09)  > 90 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0440-7135-90)","N/A","N/A","No","12/31/2018"
"Adult Low Dose Enteric Coated Aspirin","70518-0838-1","81 mg/1","TABLET, DELAYED RELEASE","ORAL","part343","REMEDYREPACK INC.","70518-0838","Aspirin","ASPIRIN","HUMAN OTC DRUG","11/13/2017","N/A","OTC MONOGRAPH FINAL","30 TABLET, DELAYED RELEASE in 1 BLISTER PACK (70518-0838-1)","N/A","N/A","No","12/31/2019"
"Adult Low Dose Enteric Coated Aspirin","70518-0838-0","81 mg/1","TABLET, DELAYED RELEASE","ORAL","part343","REMEDYREPACK INC.","70518-0838","Aspirin","ASPIRIN","HUMAN OTC DRUG","11/13/2017","N/A","OTC MONOGRAPH FINAL","30 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (70518-0838-0)","N/A","N/A","No","12/31/2019"
