"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"ARTHROTEC","49999-987-60","75 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","49999-987","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","02/23/2012","N/A","NDA","60 TABLET, FILM COATED in 1 BOTTLE (49999-987-60)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2018"
"ARTHROTEC","0025-1411-34","50 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","G.D. Searle LLC Division of Pfizer Inc","0025-1411","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","12/24/1997","N/A","NDA","100 TABLET, FILM COATED in 1 CARTON (0025-1411-34)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2018"
"ARTHROTEC","0025-1411-60","50 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","G.D. Searle LLC Division of Pfizer Inc","0025-1411","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","12/24/1997","N/A","NDA","60 TABLET, FILM COATED in 1 BOTTLE (0025-1411-60)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2018"
"ARTHROTEC","0025-1411-90","50 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","G.D. Searle LLC Division of Pfizer Inc","0025-1411","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","12/24/1997","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (0025-1411-90)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2018"
"ARTHROTEC","0025-1421-34","75 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","G.D. Searle LLC Division of Pfizer Inc","0025-1421","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","12/24/1997","N/A","NDA","100 TABLET, FILM COATED in 1 CARTON (0025-1421-34)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2018"
"ARTHROTEC","0025-1421-60","75 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","G.D. Searle LLC Division of Pfizer Inc","0025-1421","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","12/24/1997","N/A","NDA","60 TABLET, FILM COATED in 1 BOTTLE (0025-1421-60)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2018"
"ARTHROTEC","55289-406-15","50 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","PD-Rx Pharmaceuticals, Inc.","55289-406","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","12/24/1997","N/A","NDA","15 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-406-15)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2019"
"ARTHROTEC","55289-406-30","50 mg/1,                         200  ug/1","TABLET, FILM COATED","ORAL","NDA020607","PD-Rx Pharmaceuticals, Inc.","55289-406","diclofenac sodium and misoprostol","DICLOFENAC SODIUM;  MISOPROSTOL","HUMAN PRESCRIPTION DRUG","12/24/1997","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-406-30)","Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E,  Synthetic [Chemical/Ingredient]","N/A","No","12/31/2019"
"ARTHROTEC  (E)","54868-4164-0"," "," "," "," ","Physicians Total Care, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"ARTHROTEC  (E)","54868-4164-1"," "," "," "," ","Physicians Total Care, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
