"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"CELEBREX","55154-3621-0","100 mg/1","CAPSULE","ORAL","NDA020998","Cardinal Health","55154-3621","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","10 BLISTER PACK in 1 BAG (55154-3621-0)  > 1 CAPSULE in 1 BLISTER PACK","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","55154-3622-0","200 mg/1","CAPSULE","ORAL","NDA020998","Cardinal Health","55154-3622","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","10 BLISTER PACK in 1 BAG (55154-3622-0)  > 1 CAPSULE in 1 BLISTER PACK","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1515-01","50 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1515","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","60 CAPSULE in 1 BOTTLE (0025-1515-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1520-31","100 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1520","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","100 CAPSULE in 1 BOTTLE (0025-1520-31)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1520-34","100 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1520","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","100 BLISTER PACK in 1 CARTON (0025-1520-34)  > 1 CAPSULE in 1 BLISTER PACK","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1520-51","100 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1520","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","500 CAPSULE in 1 BOTTLE (0025-1520-51)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1525-31","200 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1525","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","100 CAPSULE in 1 BOTTLE (0025-1525-31)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1525-34","200 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1525","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","100 BLISTER PACK in 1 CARTON (0025-1525-34)  > 1 CAPSULE in 1 BLISTER PACK","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1525-51","200 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1525","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","500 CAPSULE in 1 BOTTLE (0025-1525-51)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1525-96","200 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1525","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","4 CARTON in 1 BOX (0025-1525-96)  > 1 BLISTER PACK in 1 CARTON (0025-1525-99)  > 3 CAPSULE in 1 BLISTER PACK","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1530-01","400 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1530","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","100 BLISTER PACK in 1 CARTON (0025-1530-01)  > 1 CAPSULE in 1 BLISTER PACK","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","0025-1530-02","400 mg/1","CAPSULE","ORAL","NDA020998","G.D. Searle LLC Division of Pfizer Inc","0025-1530","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","60 CAPSULE in 1 BOTTLE (0025-1530-02)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"CELEBREX","67544-204-30","200 mg/1","CAPSULE","ORAL","NDA020998","Aphena Pharma Solutions - Tennessee, LLC","67544-204","Celecoxib","CELECOXIB","HUMAN PRESCRIPTION DRUG","10/02/1998","N/A","NDA","30 CAPSULE in 1 BOTTLE, PLASTIC (67544-204-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
