"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Diflunisal","68382-530-01","500 mg/1","TABLET","ORAL","ANDA203547","Zydus Pharmaceuticals (USA) Inc.","68382-530","Diflunisal","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","09/14/2017","N/A","ANDA","100 TABLET in 1 BOTTLE (68382-530-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Diflunisal","68382-530-05","500 mg/1","TABLET","ORAL","ANDA203547","Zydus Pharmaceuticals (USA) Inc.","68382-530","Diflunisal","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","09/14/2017","N/A","ANDA","500 TABLET in 1 BOTTLE (68382-530-05)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Diflunisal","68382-530-06","500 mg/1","TABLET","ORAL","ANDA203547","Zydus Pharmaceuticals (USA) Inc.","68382-530","Diflunisal","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","09/14/2017","N/A","ANDA","30 TABLET in 1 BOTTLE (68382-530-06)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Diflunisal","68382-530-10","500 mg/1","TABLET","ORAL","ANDA203547","Zydus Pharmaceuticals (USA) Inc.","68382-530","Diflunisal","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","09/14/2017","N/A","ANDA","1000 TABLET in 1 BOTTLE (68382-530-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Diflunisal","68382-530-14","500 mg/1","TABLET","ORAL","ANDA203547","Zydus Pharmaceuticals (USA) Inc.","68382-530","Diflunisal","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","09/14/2017","N/A","ANDA","60 TABLET in 1 BOTTLE (68382-530-14)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Diflunisal","68382-530-16","500 mg/1","TABLET","ORAL","ANDA203547","Zydus Pharmaceuticals (USA) Inc.","68382-530","Diflunisal","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","09/14/2017","N/A","ANDA","90 TABLET in 1 BOTTLE (68382-530-16)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Diflunisal","68382-530-30","500 mg/1","TABLET","ORAL","ANDA203547","Zydus Pharmaceuticals (USA) Inc.","68382-530","Diflunisal","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","09/14/2017","N/A","ANDA","10 BLISTER PACK in 1 CARTON (68382-530-30)  > 10 TABLET in 1 BLISTER PACK","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"DIFLUNISAL","52959-379-14","500 mg/1","TABLET, FILM COATED","ORAL","ANDA073673","H. J. Harkins Company Inc.","52959-379","DIFLUNISAL","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","12/22/2017","N/A","ANDA","14 TABLET, FILM COATED in 1 CONTAINER (52959-379-14)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"DIFLUNISAL","52959-379-15","500 mg/1","TABLET, FILM COATED","ORAL","ANDA073673","H. J. Harkins Company Inc.","52959-379","DIFLUNISAL","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","12/22/2017","N/A","ANDA","15 TABLET, FILM COATED in 1 CONTAINER (52959-379-15)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"DIFLUNISAL","52959-379-20","500 mg/1","TABLET, FILM COATED","ORAL","ANDA073673","H. J. Harkins Company Inc.","52959-379","DIFLUNISAL","DIFLUNISAL","HUMAN PRESCRIPTION DRUG","12/22/2017","N/A","ANDA","20 TABLET, FILM COATED in 1 CONTAINER (52959-379-20)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
