"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Etodolac","68382-271-01","400 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-271","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-271-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","68382-271-05","400 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-271","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","500 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-271-05)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","68382-271-10","400 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-271","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","1000 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-271-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","68382-271-14","400 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-271","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-271-14)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","68382-271-77","400 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-271","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","100 BLISTER PACK in 1 CARTON (68382-271-77)  > 1 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK (68382-271-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","68382-272-01","500 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-272","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-272-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","71335-0092-1","500 mg/1","TABLET, FILM COATED","ORAL","ANDA075009","Bryant Ranch Prepack","71335-0092","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","09/09/2009","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (71335-0092-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Etodolac","71335-0092-2","500 mg/1","TABLET, FILM COATED","ORAL","ANDA075009","Bryant Ranch Prepack","71335-0092","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","09/09/2009","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (71335-0092-2)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Etodolac","71335-0092-3","500 mg/1","TABLET, FILM COATED","ORAL","ANDA075009","Bryant Ranch Prepack","71335-0092","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","09/09/2009","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (71335-0092-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Etodolac","71335-0092-4","500 mg/1","TABLET, FILM COATED","ORAL","ANDA075009","Bryant Ranch Prepack","71335-0092","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","09/09/2009","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (71335-0092-4)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Etodolac","71335-0092-5","500 mg/1","TABLET, FILM COATED","ORAL","ANDA075009","Bryant Ranch Prepack","71335-0092","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","09/09/2009","N/A","ANDA","6 TABLET, FILM COATED in 1 BOTTLE (71335-0092-5)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Etodolac","71335-0092-6","500 mg/1","TABLET, FILM COATED","ORAL","ANDA075009","Bryant Ranch Prepack","71335-0092","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","09/09/2009","N/A","ANDA","20 TABLET, FILM COATED in 1 BOTTLE (71335-0092-6)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Etodolac","71335-0092-7","500 mg/1","TABLET, FILM COATED","ORAL","ANDA075009","Bryant Ranch Prepack","71335-0092","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","09/09/2009","N/A","ANDA","14 TABLET, FILM COATED in 1 BOTTLE (71335-0092-7)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Etodolac","68382-272-05","500 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-272","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","500 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-272-05)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","68382-272-10","500 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-272","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","1000 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-272-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Etodolac","68382-272-14","500 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA091134","Zydus Pharmaceuticals (USA) Inc.","68382-272","Etodolac","ETODOLAC","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68382-272-14)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
