"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"FENOPROFEN","62250-691-02","200 mg/1","CAPSULE","ORAL","NDA017604","Belcher Pharmaceuticals,LLC","62250-691","FENOPROFEN CALCIUM","FENOPROFEN CALCIUM","HUMAN PRESCRIPTION DRUG","04/19/2017","N/A","NDA","100 CAPSULE in 1 BOTTLE (62250-691-02)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Fenoprofen (U)","63629-5388-1"," "," "," "," ","Bryant Ranch Prepack"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"Fenoprofen (U)","63629-5388-2"," "," "," "," ","Bryant Ranch Prepack"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"Fenoprofen (U)","63629-5388-3"," "," "," "," ","Bryant Ranch Prepack"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"Fenoprofen (U)","63629-5388-4"," "," "," "," ","Bryant Ranch Prepack"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"Fenoprofen Calcium","50090-3572-0","400 mg/1","CAPSULE","ORAL","NDA017604","A-S Medication Solutions","50090-3572","fenoprofen calcium","FENOPROFEN CALCIUM","HUMAN PRESCRIPTION DRUG","05/19/2016","N/A","NDA AUTHORIZED GENERIC","90 CAPSULE in 1 BOTTLE (50090-3572-0)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Fenoprofen Calcium","71335-0307-1","400 mg/1","CAPSULE","ORAL","NDA017604","Bryant Ranch Prepack","71335-0307","fenoprofen calcium","FENOPROFEN CALCIUM","HUMAN PRESCRIPTION DRUG","05/19/2016","N/A","NDA AUTHORIZED GENERIC","30 CAPSULE in 1 BOTTLE (71335-0307-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Fenoprofen Calcium","71335-0307-2","400 mg/1","CAPSULE","ORAL","NDA017604","Bryant Ranch Prepack","71335-0307","fenoprofen calcium","FENOPROFEN CALCIUM","HUMAN PRESCRIPTION DRUG","05/19/2016","N/A","NDA AUTHORIZED GENERIC","60 CAPSULE in 1 BOTTLE (71335-0307-2)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Fenoprofen Calcium","71335-0307-3","400 mg/1","CAPSULE","ORAL","NDA017604","Bryant Ranch Prepack","71335-0307","fenoprofen calcium","FENOPROFEN CALCIUM","HUMAN PRESCRIPTION DRUG","05/19/2016","N/A","NDA AUTHORIZED GENERIC","90 CAPSULE in 1 BOTTLE (71335-0307-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Fenoprofen Calcium","71335-0307-4","400 mg/1","CAPSULE","ORAL","NDA017604","Bryant Ranch Prepack","71335-0307","fenoprofen calcium","FENOPROFEN CALCIUM","HUMAN PRESCRIPTION DRUG","05/19/2016","N/A","NDA AUTHORIZED GENERIC","120 CAPSULE in 1 BOTTLE (71335-0307-4)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
