"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Antiphlamine Pain Relieving","69642-1300-1","33 mg/51","PATCH","TOPICAL","","HANUL TRADING CO., LTD.","69642-1300","Flurbiprofen","FLURBIPROFEN","HUMAN OTC DRUG","09/01/2015","N/A","UNAPPROVED DRUG OTHER","5 PATCH in 1 CELLO PACK (69642-1300-1)","N/A","N/A","No","12/31/2018"
"Flurbiprofen","55289-561-10","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074358","PD-Rx Pharmaceuticals, Inc.","55289-561","flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/20/1994","N/A","ANDA","10 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-561-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","55289-561-15","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074358","PD-Rx Pharmaceuticals, Inc.","55289-561","flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/20/1994","N/A","ANDA","15 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-561-15)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","55289-561-30","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074358","PD-Rx Pharmaceuticals, Inc.","55289-561","flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/20/1994","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-561-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","55289-561-60","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074358","PD-Rx Pharmaceuticals, Inc.","55289-561","flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/20/1994","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-561-60)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","0093-0711-01","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074431","Teva Pharmaceuticals USA, Inc.","0093-0711","Flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/02/1995","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-0711-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","0093-0711-05","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074431","Teva Pharmaceuticals USA, Inc.","0093-0711","Flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/02/1995","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-0711-05)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","0378-0076-01","50 mg/1","TABLET, FILM COATED","ORAL","ANDA074358","Mylan Pharmaceuticals Inc.","0378-0076","flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/20/1994","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0076-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","0378-0093-01","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074358","Mylan Pharmaceuticals Inc.","0378-0093","flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","06/20/1994","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0093-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Flurbiprofen","49999-311-60","100 mg/1","TABLET, FILM COATED","ORAL","ANDA074431","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","49999-311","Flurbiprofen","FLURBIPROFEN","HUMAN PRESCRIPTION DRUG","03/07/2012","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (49999-311-60)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
