"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Advil","66715-9700-1","200 mg/1","TABLET, COATED","ORAL","NDA018989","Lil' Drug Store Products, Inc.","66715-9700","Ibuprofen","IBUPROFEN","HUMAN OTC DRUG","02/22/2010","N/A","NDA","1 POUCH in 1 CARTON (66715-9700-1)  > 2 TABLET, COATED in 1 POUCH","N/A","N/A","No","12/31/2018"
"Advil","66715-9700-2","200 mg/1","TABLET, COATED","ORAL","NDA018989","Lil' Drug Store Products, Inc.","66715-9700","Ibuprofen","IBUPROFEN","HUMAN OTC DRUG","02/22/2010","N/A","NDA","2 POUCH in 1 CARTON (66715-9700-2)  > 2 TABLET, COATED in 1 POUCH","N/A","N/A","No","12/31/2018"
"Advil","66715-9700-3","200 mg/1","TABLET, COATED","ORAL","NDA018989","Lil' Drug Store Products, Inc.","66715-9700","Ibuprofen","IBUPROFEN","HUMAN OTC DRUG","02/22/2010","N/A","NDA","3 POUCH in 1 CARTON (66715-9700-3)  > 2 TABLET, COATED in 1 POUCH","N/A","N/A","No","12/31/2018"
"Advil Multi-Symptom Cold and Flu","0573-0190-30","4 mg/1,                         200  mg/1,                         10  mg/1","TABLET, COATED","ORAL","NDA022113","Wyeth Consumer Healthcare LLC","0573-0190","chlorpheniramine maleate, ibuprofen, phenylephrine HCl","CHLORPHENIRAMINE MALEATE;  IBUPROFEN;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","06/25/2018","N/A","NDA","3 BLISTER PACK in 1 CARTON (0573-0190-30)  > 10 TABLET, COATED in 1 BLISTER PACK","N/A","N/A","No","12/31/2019"
"Advil PM","66715-9733-2","200 mg/1,                         38  mg/1","TABLET, COATED","ORAL","NDA021394","Lil' Drug Store Products, Inc.","66715-9733","Ibuprofen and Diphenhydramine citrate","IBUPROFEN;  DIPHENHYDRAMINE CITRATE","HUMAN OTC DRUG","05/11/2010","N/A","NDA","2 POUCH in 1 CARTON (66715-9733-2)  > 2 TABLET, COATED in 1 POUCH","N/A","N/A","No","12/31/2019"
"Advil PM","66715-9733-8","200 mg/1,                         38  mg/1","TABLET, COATED","ORAL","NDA021394","Lil' Drug Store Products, Inc.","66715-9733","Ibuprofen and Diphenhydramine citrate","IBUPROFEN;  DIPHENHYDRAMINE CITRATE","HUMAN OTC DRUG","05/11/2010","N/A","NDA","5 POUCH in 1 CARTON (66715-9733-8)  > 2 TABLET, COATED in 1 POUCH","N/A","N/A","No","12/31/2019"
"APROFEN (U)","46084-021-22"," "," "," "," ","A P J Laboratories Limited"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"APROFEN (U)","46084-021-23"," "," "," "," ","A P J Laboratories Limited"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"APROFEN (U)","46084-021-24"," "," "," "," ","A P J Laboratories Limited"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"APROFEN (U)","46084-021-26"," "," "," "," ","A P J Laboratories Limited"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"APROFEN (U)","46084-021-31"," "," "," "," ","A P J Laboratories Limited"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"Assured Ibuprofen","68210-0081-3","200 mg/1","TABLET, FILM COATED","ORAL","ANDA079174","Spirit Pharmaceutical LLC","68210-0081","Ibuprofen","IBUPROFEN","HUMAN OTC DRUG","12/15/2017","N/A","ANDA","1 BOTTLE in 1 CARTON (68210-0081-3)  > 30 TABLET, FILM COATED in 1 BOTTLE","N/A","N/A","No","12/31/2019"
