"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"INDOCIN","42211-101-01","25 mg/5mL","SUSPENSION","ORAL","NDA018332","Iroko Pharmaceuticals, LLC","42211-101","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","10/10/1985","N/A","NDA","1 BOTTLE in 1 CARTON (42211-101-01)  > 50 mL in 1 BOTTLE","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"INDOCIN","42211-101-11","25 mg/5mL","SUSPENSION","ORAL","NDA018332","Iroko Pharmaceuticals, LLC","42211-101","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","10/10/1985","N/A","NDA","1 BOTTLE in 1 CARTON (42211-101-11)  > 237 mL in 1 BOTTLE","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"INDOCIN","42211-102-43","50 mg/1","SUPPOSITORY","RECTAL","ANDA073314","Iroko Pharmaceuticals, LLC","42211-102","INDOMETHACIN","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","08/31/1992","N/A","ANDA","30 SUPPOSITORY in 1 BOX (42211-102-43)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Indomethacin","59746-346-01","25 mg/1","CAPSULE","ORAL","ANDA205215","Jubilant Cadista Pharmaceuticals Inc.","59746-346","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","08/25/2017","N/A","ANDA","100 CAPSULE in 1 BOTTLE (59746-346-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Indomethacin","59746-346-10","25 mg/1","CAPSULE","ORAL","ANDA205215","Jubilant Cadista Pharmaceuticals Inc.","59746-346","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","08/25/2017","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (59746-346-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Indomethacin","59746-346-30","25 mg/1","CAPSULE","ORAL","ANDA205215","Jubilant Cadista Pharmaceuticals Inc.","59746-346","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","08/25/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (59746-346-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Indomethacin","59746-347-01","50 mg/1","CAPSULE","ORAL","ANDA205215","Jubilant Cadista Pharmaceuticals Inc.","59746-347","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","08/25/2017","N/A","ANDA","100 CAPSULE in 1 BOTTLE (59746-347-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Indomethacin","59746-347-05","50 mg/1","CAPSULE","ORAL","ANDA205215","Jubilant Cadista Pharmaceuticals Inc.","59746-347","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","08/25/2017","N/A","ANDA","500 CAPSULE in 1 BOTTLE (59746-347-05)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Indomethacin","59746-347-30","50 mg/1","CAPSULE","ORAL","ANDA205215","Jubilant Cadista Pharmaceuticals Inc.","59746-347","indomethacin","INDOMETHACIN","HUMAN PRESCRIPTION DRUG","08/25/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (59746-347-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"INDOMETHACIN","68382-470-01","1 mg/1","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","ANDA206561","Zydus Pharmaceuticals USA Inc.","68382-470","INDOMETHACIN","INDOMETHACIN SODIUM","HUMAN PRESCRIPTION DRUG","10/03/2017","N/A","ANDA","1 VIAL in 1 CARTON (68382-470-01)  > 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
