"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Ketoprofen","43063-737-30","50 mg/1","CAPSULE","ORAL","ANDA073516","PD-Rx Pharmaceuticals, Inc.","43063-737","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","30 CAPSULE in 1 BOTTLE, PLASTIC (43063-737-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Ketoprofen","45865-485-51","50 mg/1","CAPSULE","ORAL","ANDA073516","Medsource Pharmaceuticals","45865-485","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","120 CAPSULE in 1 BOTTLE (45865-485-51)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Ketoprofen","45865-485-60","50 mg/1","CAPSULE","ORAL","ANDA073516","Medsource Pharmaceuticals","45865-485","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","60 CAPSULE in 1 BOTTLE (45865-485-60)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Ketoprofen","63629-1836-0","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","9 CAPSULE in 1 BOTTLE (63629-1836-0)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-1","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","20 CAPSULE in 1 BOTTLE (63629-1836-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-2","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","30 CAPSULE in 1 BOTTLE (63629-1836-2)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-3","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","60 CAPSULE in 1 BOTTLE (63629-1836-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-4","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","90 CAPSULE in 1 BOTTLE (63629-1836-4)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-5","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","21 CAPSULE in 1 BOTTLE (63629-1836-5)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-6","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","24 CAPSULE in 1 BOTTLE (63629-1836-6)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-7","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","42 CAPSULE in 1 BOTTLE (63629-1836-7)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","63629-1836-8","75 mg/1","CAPSULE","ORAL","ANDA073517","Bryant Ranch Prepack","63629-1836","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/01/1993","N/A","ANDA","6 CAPSULE in 1 BOTTLE (63629-1836-8)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Ketoprofen","0378-8200-01","200 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA075679","Mylan Pharmaceuticals Inc.","0378-8200","ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","09/04/2003","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0378-8200-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Ketoprofen","68788-9088-1","75 mg/1","CAPSULE","ORAL","ANDA073517","Preferred Pharmaceuticals, Inc.","68788-9088","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/18/2011","N/A","ANDA","100 CAPSULE in 1 BOTTLE, DISPENSING (68788-9088-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Ketoprofen","68788-9088-3","75 mg/1","CAPSULE","ORAL","ANDA073517","Preferred Pharmaceuticals, Inc.","68788-9088","Ketoprofen","KETOPROFEN","HUMAN PRESCRIPTION DRUG","01/18/2011","N/A","ANDA","30 CAPSULE in 1 BOTTLE, DISPENSING (68788-9088-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
