"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Acular","0023-2181-05","5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA019700","Allergan, Inc.","0023-2181","Ketorolac Tromethamine","KETOROLAC TROMETHAMINE","HUMAN PRESCRIPTION DRUG","12/01/1992","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (0023-2181-05)  > 5 mL in 1 BOTTLE, DROPPER","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Cyclooxygenase Inhibitor [EPC]","N/A","No","12/31/2018"
"ACULAR  (E)","16590-002-05"," "," "," "," ","STAT Rx USA LLC"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"ACULAR (U)","21695-463-05"," "," "," "," ","Rebel Distributors Corp."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"ACULAR LS","0023-9277-05","4 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021528","Allergan, Inc.","0023-9277","Ketorolac Tromethamine","KETOROLAC TROMETHAMINE","HUMAN PRESCRIPTION DRUG","08/19/2003","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (0023-9277-05)  > 5 mL in 1 BOTTLE, DROPPER","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Cyclooxygenase Inhibitor [EPC]","N/A","No","12/31/2018"
"Acunistat-30","70529-010-01","","KIT","","ANDA088299","IT3 Medical LLC","70529-010","Lidocaine Hydrochloride, Ketorolac Tromethamine","","HUMAN PRESCRIPTION DRUG","03/01/2017","N/A","ANDA","1 KIT in 1 PACKAGE (70529-010-01)  *  1 mL in 1 VIAL, SINGLE-DOSE *  1 mL in 1 PACKET *  50 mL in 1 VIAL, MULTI-DOSE","N/A","N/A","No","12/31/2019"
"Acunistat-60","70529-012-01","","KIT","","ANDA088299","IT3 Medical LLC","70529-012","Lidocaine Hydrochloride, Ketorolac Tromethamine","","HUMAN PRESCRIPTION DRUG","03/01/2017","N/A","ANDA","1 KIT in 1 PACKAGE (70529-012-01)  *  2 mL in 1 VIAL, SINGLE-DOSE *  1 mL in 1 PACKET *  50 mL in 1 VIAL, MULTI-DOSE","N/A","N/A","No","12/31/2019"
"Acunivive 30","70529-120-30","30 mg/mL","INJECTION, SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA204216","IT3 Medical LLC","70529-120","ketorolac tromethamine","KETOROLAC TROMETHAMINE","HUMAN PRESCRIPTION DRUG","03/01/2017","N/A","ANDA","1 VIAL, SINGLE-DOSE in 1 PACKAGE (70529-120-30)  > 1 mL in 1 VIAL, SINGLE-DOSE","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Cyclooxygenase Inhibitor [EPC]","N/A","No","12/31/2019"
"Acunivive 60","70529-121-60","30 mg/mL","INJECTION, SOLUTION","INTRAMUSCULAR","ANDA204216","IT3 Medical LLC","70529-121","ketorolac tromethamine","KETOROLAC TROMETHAMINE","HUMAN PRESCRIPTION DRUG","03/01/2017","N/A","ANDA","1 VIAL, SINGLE-DOSE in 1 PACKAGE (70529-121-60)  > 2 mL in 1 VIAL, SINGLE-DOSE","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Cyclooxygenase Inhibitor [EPC]","N/A","No","12/31/2019"
"Acunivive 90","70529-122-90","","KIT","","ANDA204216","IT3 Medical LLC","70529-122","Ketorolac Tromethamine","","HUMAN PRESCRIPTION DRUG","03/01/2017","N/A","ANDA","1 KIT in 1 PACKAGE (70529-122-90)  *  2 mL in 1 VIAL, SINGLE-DOSE *  1 mL in 1 PACKET *  1 mL in 1 VIAL, SINGLE-DOSE","N/A","N/A","No","12/31/2019"
"ACUVAIL","0023-3507-05","4.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022427","Allergan, Inc.","0023-3507","ketorolac tromethamine","KETOROLAC TROMETHAMINE","HUMAN PRESCRIPTION DRUG","08/01/2009","N/A","NDA","5 VIAL, SINGLE-USE in 1 CARTON (0023-3507-05)  > .4 mL in 1 VIAL, SINGLE-USE","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Cyclooxygenase Inhibitor [EPC]","N/A","No","12/31/2019"
"ACUVAIL","0023-3507-30","4.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022427","Allergan, Inc.","0023-3507","ketorolac tromethamine","KETOROLAC TROMETHAMINE","HUMAN PRESCRIPTION DRUG","08/01/2009","N/A","NDA","30 VIAL, SINGLE-USE in 1 CARTON (0023-3507-30)  > .4 mL in 1 VIAL, SINGLE-USE","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC], Cyclooxygenase Inhibitor [EPC]","N/A","No","12/31/2019"
