"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Mefenamic acid","42571-258-01","250 mg/1","CAPSULE","ORAL","ANDA090562","Micro Labs Limited","42571-258","Mefenamic acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","11/19/2010","N/A","ANDA","100 CAPSULE in 1 BOTTLE (42571-258-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Mefenamic acid","42571-258-30","250 mg/1","CAPSULE","ORAL","ANDA090562","Micro Labs Limited","42571-258","Mefenamic acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","11/19/2010","N/A","ANDA","30 CAPSULE in 1 BOTTLE (42571-258-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Mefenamic Acid","62250-677-30","250 mg/1","CAPSULE","ORAL","ANDA091608","Belcher Pharmaceuticals,LLC","62250-677","Mefenamic Acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","06/25/2015","N/A","ANDA","30 CAPSULE in 1 BOTTLE (62250-677-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Mefenamic Acid","68180-185-01","250 mg/1","CAPSULE","ORAL","ANDA091322","Lupin Pharmaceuticals, Inc.","68180-185","Mefenamic Acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","07/22/2011","N/A","ANDA","100 CAPSULE in 1 BOTTLE (68180-185-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Mefenamic Acid","68180-185-06","250 mg/1","CAPSULE","ORAL","ANDA091322","Lupin Pharmaceuticals, Inc.","68180-185","Mefenamic Acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","07/22/2011","N/A","ANDA","30 CAPSULE in 1 BOTTLE (68180-185-06)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Mefenamic Acid","68180-185-13","250 mg/1","CAPSULE","ORAL","ANDA091322","Lupin Pharmaceuticals, Inc.","68180-185","Mefenamic Acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","07/22/2011","N/A","ANDA","3 BLISTER PACK in 1 CARTON (68180-185-13)  > 8 CAPSULE in 1 BLISTER PACK (68180-185-11)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Mefenamic Acid","51991-839-01","250 mg/1","CAPSULE","ORAL","ANDA090359","Breckenridge Pharmaceutical, Inc.","51991-839","Mefenamic Acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","10/13/2014","07/31/2020","ANDA","100 CAPSULE in 1 BOTTLE (51991-839-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","N/A"
"Mefenamic Acid","51991-839-33","250 mg/1","CAPSULE","ORAL","ANDA090359","Breckenridge Pharmaceutical, Inc.","51991-839","Mefenamic Acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","10/13/2014","07/31/2020","ANDA","30 CAPSULE in 1 BOTTLE (51991-839-33)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","N/A"
"Mefenamic Acid (U)","66993-070-30"," "," "," "," ","Prasco Laboratories"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"Ponstel","59630-400-30","250 mg/1","CAPSULE","ORAL","NDA015034","SHIONOGI INC.","59630-400","Mefenamic Acid","MEFENAMIC ACID","HUMAN PRESCRIPTION DRUG","03/28/1967","N/A","NDA","30 CAPSULE in 1 BOTTLE (59630-400-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
