"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Comfort Pac with Meloxicam","43063-526-92","","KIT","","ANDA077918","PD-Rx Pharmaceuticals, Inc.","43063-526","Meloxicam","","HUMAN PRESCRIPTION DRUG","06/30/2010","N/A","ANDA","1 KIT in 1 CARTON (43063-526-92)  *  60 mL in 1 BOTTLE, PLASTIC *  30 TABLET in 1 BOTTLE, PLASTIC (43063-396-30)","N/A","N/A","No","12/31/2018"
"meloxicam","60760-419-07","15 mg/1","TABLET","ORAL","ANDA077927","St. Mary's Medical Park Pharmacy","60760-419","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","02/03/2016","N/A","ANDA","7 TABLET in 1 BOTTLE, PLASTIC (60760-419-07)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"MELOXICAM","68071-1919-2","7.5 mg/1","TABLET","ORAL","ANDA077929","NuCare Pharmaceuticals, Inc.","68071-1919","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","07/19/2006","N/A","ANDA","20 TABLET in 1 BOTTLE (68071-1919-2)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"MELOXICAM","68071-1919-3","7.5 mg/1","TABLET","ORAL","ANDA077929","NuCare Pharmaceuticals, Inc.","68071-1919","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","07/19/2006","N/A","ANDA","30 TABLET in 1 BOTTLE (68071-1919-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"MELOXICAM","68071-1919-5","7.5 mg/1","TABLET","ORAL","ANDA077929","NuCare Pharmaceuticals, Inc.","68071-1919","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","07/19/2006","N/A","ANDA","15 TABLET in 1 BOTTLE (68071-1919-5)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"MELOXICAM","68071-1919-6","7.5 mg/1","TABLET","ORAL","ANDA077929","NuCare Pharmaceuticals, Inc.","68071-1919","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","07/19/2006","N/A","ANDA","60 TABLET in 1 BOTTLE (68071-1919-6)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"MELOXICAM","68071-1919-9","7.5 mg/1","TABLET","ORAL","ANDA077929","NuCare Pharmaceuticals, Inc.","68071-1919","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","07/19/2006","N/A","ANDA","90 TABLET in 1 BOTTLE (68071-1919-9)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"meloxicam","68071-1993-3","15 mg/1","TABLET","ORAL","ANDA077927","NuCare Pharmaceuticals, Inc.","68071-1993","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","03/07/2007","N/A","ANDA","30 TABLET in 1 BOTTLE (68071-1993-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"meloxicam","68071-1993-5","15 mg/1","TABLET","ORAL","ANDA077927","NuCare Pharmaceuticals, Inc.","68071-1993","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","03/07/2007","N/A","ANDA","15 TABLET in 1 BOTTLE (68071-1993-5)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"meloxicam","68071-1993-6","15 mg/1","TABLET","ORAL","ANDA077927","NuCare Pharmaceuticals, Inc.","68071-1993","meloxicam","MELOXICAM","HUMAN PRESCRIPTION DRUG","03/07/2007","N/A","ANDA","60 TABLET in 1 BOTTLE (68071-1993-6)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
