"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"7 Select Naproxen Sodium","10202-490-62","220 mg/1","TABLET, FILM COATED","ORAL","ANDA074661","7-Eleven","10202-490","Naproxen Sodium","NAPROXEN SODIUM","HUMAN OTC DRUG","08/11/2014","N/A","ANDA","1 BOTTLE in 1 CARTON (10202-490-62)  > 24 TABLET, FILM COATED in 1 BOTTLE","N/A","N/A","No","12/31/2019"
"Aleve","66715-9702-1","220 mg/1","TABLET","ORAL","NDA020204","Lil' Drug Store Products, Inc","66715-9702","Naproxen Sodium","NAPROXEN SODIUM","HUMAN OTC DRUG","01/01/2000","N/A","NDA","1 POUCH in 1 CARTON (66715-9702-1)  > 1 TABLET in 1 POUCH","N/A","N/A","No","12/31/2019"
"Aleve","66715-9702-2","220 mg/1","TABLET","ORAL","NDA020204","Lil' Drug Store Products, Inc","66715-9702","Naproxen Sodium","NAPROXEN SODIUM","HUMAN OTC DRUG","01/01/2000","N/A","NDA","2 POUCH in 1 CARTON (66715-9702-2)  > 1 TABLET in 1 POUCH","N/A","N/A","No","12/31/2019"
"Aleve","66715-9702-3","220 mg/1","TABLET","ORAL","NDA020204","Lil' Drug Store Products, Inc","66715-9702","Naproxen Sodium","NAPROXEN SODIUM","HUMAN OTC DRUG","01/01/2000","N/A","NDA","3 POUCH in 1 CARTON (66715-9702-3)  > 1 TABLET in 1 POUCH","N/A","N/A","No","12/31/2019"
"Aleve","0280-6000-02","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-02)  > 200 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-06","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BLISTER PACK in 1 CARTON (0280-6000-06)  > 6 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-10","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-10)  > 100 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-15","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-15)  > 150 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-24","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-24)  > 24 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-27","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-27)  > 270 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-32","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-32)  > 320 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-50","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-50)  > 50 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
"Aleve","0280-6000-70","220 mg/1","TABLET","ORAL","NDA020204","Bayer HealthCare LLC.","0280-6000","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","02/26/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0280-6000-70)  > 150 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2018"
