"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Daypro","0025-1381-31","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","G.D. Searle LLC Division of Pfizer Inc","0025-1381","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","100 TABLET, FILM COATED in 1 BOTTLE (0025-1381-31)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","0025-1381-34","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","G.D. Searle LLC Division of Pfizer Inc","0025-1381","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","100 TABLET, FILM COATED in 1 BOX, UNIT-DOSE (0025-1381-34)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","0025-1381-51","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","G.D. Searle LLC Division of Pfizer Inc","0025-1381","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","500 TABLET, FILM COATED in 1 BOTTLE (0025-1381-51)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","55289-453-14","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","PD-Rx Pharmaceuticals, Inc.","55289-453","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","14 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-453-14)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","55289-453-15","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","PD-Rx Pharmaceuticals, Inc.","55289-453","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","15 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-453-15)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","55289-453-20","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","PD-Rx Pharmaceuticals, Inc.","55289-453","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","20 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-453-20)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","55289-453-30","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","PD-Rx Pharmaceuticals, Inc.","55289-453","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-453-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","55289-453-40","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","PD-Rx Pharmaceuticals, Inc.","55289-453","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","40 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-453-40)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","55289-453-42","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","PD-Rx Pharmaceuticals, Inc.","55289-453","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","42 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-453-42)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Daypro","55289-453-60","600 mg/1","TABLET, FILM COATED","ORAL","NDA018841","PD-Rx Pharmaceuticals, Inc.","55289-453","oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55289-453-60)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","50436-2899-1","600 mg/1","TABLET, FILM COATED","ORAL","ANDA075849","Unit Dose Services","50436-2899","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/12/2003","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (50436-2899-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Oxaprozin","50436-2899-2","600 mg/1","TABLET, FILM COATED","ORAL","ANDA075849","Unit Dose Services","50436-2899","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/12/2003","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (50436-2899-2)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Oxaprozin","71335-0902-3","600 mg/1","TABLET","ORAL","ANDA075845","Bryant Ranch Prepack","71335-0902","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","14 TABLET in 1 BOTTLE (71335-0902-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0902-1","600 mg/1","TABLET","ORAL","ANDA075845","Bryant Ranch Prepack","71335-0902","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-0902-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0902-2","600 mg/1","TABLET","ORAL","ANDA075845","Bryant Ranch Prepack","71335-0902","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","20 TABLET in 1 BOTTLE (71335-0902-2)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0902-4","600 mg/1","TABLET","ORAL","ANDA075845","Bryant Ranch Prepack","71335-0902","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","60 TABLET in 1 BOTTLE (71335-0902-4)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","0185-0141-01","600 mg/1","TABLET","ORAL","ANDA075845","Eon Labs, Inc.","0185-0141","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","100 TABLET in 1 BOTTLE (0185-0141-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","55111-170-01","600 mg/1","TABLET, FILM COATED","ORAL","ANDA075855","Dr. Reddy's Laboratories Limited","55111-170","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (55111-170-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","55111-170-05","600 mg/1","TABLET, FILM COATED","ORAL","ANDA075855","Dr. Reddy's Laboratories Limited","55111-170","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (55111-170-05)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","68151-0523-0","600 mg/1","TABLET","ORAL","ANDA075845","Carilion Materials Management","68151-0523","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","01/31/2001","N/A","ANDA","1 TABLET in 1 PACKAGE (68151-0523-0)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Oxaprozin","71335-0617-1","600 mg/1","TABLET","ORAL","ANDA208633","Bryant Ranch Prepack","71335-0617","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/04/2017","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-0617-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0617-2","600 mg/1","TABLET","ORAL","ANDA208633","Bryant Ranch Prepack","71335-0617","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/04/2017","N/A","ANDA","20 TABLET in 1 BOTTLE (71335-0617-2)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0617-3","600 mg/1","TABLET","ORAL","ANDA208633","Bryant Ranch Prepack","71335-0617","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/04/2017","N/A","ANDA","14 TABLET in 1 BOTTLE (71335-0617-3)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0617-4","600 mg/1","TABLET","ORAL","ANDA208633","Bryant Ranch Prepack","71335-0617","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/04/2017","N/A","ANDA","60 TABLET in 1 BOTTLE (71335-0617-4)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0617-5","600 mg/1","TABLET","ORAL","ANDA208633","Bryant Ranch Prepack","71335-0617","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/04/2017","N/A","ANDA","90 TABLET in 1 BOTTLE (71335-0617-5)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","71335-0617-6","600 mg/1","TABLET","ORAL","ANDA208633","Bryant Ranch Prepack","71335-0617","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","05/04/2017","N/A","ANDA","6 TABLET in 1 BOTTLE (71335-0617-6)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Oxaprozin","68788-9884-0","600 mg/1","TABLET, FILM COATED","ORAL","ANDA075855","Preferred Pharmaceuticals, Inc","68788-9884","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","02/14/2012","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (68788-9884-0)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Oxaprozin","68788-9884-1","600 mg/1","TABLET, FILM COATED","ORAL","ANDA075855","Preferred Pharmaceuticals, Inc","68788-9884","Oxaprozin","OXAPROZIN","HUMAN PRESCRIPTION DRUG","02/14/2012","N/A","ANDA","15 TABLET, FILM COATED in 1 BOTTLE (68788-9884-1)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
