"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Feldene","0069-3220-66","10 mg/1","CAPSULE","ORAL","NDA018147","Pfizer Laboratories Div Pfizer Inc","0069-3220","piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","05/25/1994","N/A","NDA","100 CAPSULE in 1 BOTTLE (0069-3220-66)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Feldene","0069-3230-66","20 mg/1","CAPSULE","ORAL","NDA018147","Pfizer Laboratories Div Pfizer Inc","0069-3230","piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","05/25/1994","N/A","NDA","100 CAPSULE in 1 BOTTLE (0069-3230-66)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Feldene (U)","68387-700-15"," "," "," "," ","Keltman Pharmaceuticals Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"PIROXICAM","42571-177-10","20 mg/1","CAPSULE","ORAL","ANDA206152","Micro Labs Limited","42571-177","Piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","03/01/2018","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (42571-177-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Piroxicam","57664-657-88","10 mg/1","CAPSULE","ORAL","ANDA073536","Sun Pharmaceutical Industries, Inc.","57664-657","Piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","03/12/1993","12/31/2020","ANDA","100 CAPSULE in 1 BOTTLE (57664-657-88)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","N/A"
"Piroxicam","57664-658-88","20 mg/1","CAPSULE","ORAL","ANDA073536","Sun Pharmaceutical Industries, Inc.","57664-658","Piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","03/12/1993","12/31/2020","ANDA","100 CAPSULE in 1 BOTTLE (57664-658-88)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","N/A"
"Piroxicam","42291-674-01","10 mg/1","CAPSULE","ORAL","ANDA074131","AvKARE, Inc.","42291-674","Piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","06/27/2013","N/A","ANDA","100 CAPSULE in 1 BOTTLE (42291-674-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Piroxicam","42291-677-01","20 mg/1","CAPSULE","ORAL","ANDA074131","AvKARE, Inc.","42291-677","Piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","06/27/2013","N/A","ANDA","100 CAPSULE in 1 BOTTLE (42291-677-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Piroxicam","42291-677-50","20 mg/1","CAPSULE","ORAL","ANDA074131","AvKARE, Inc.","42291-677","Piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","06/27/2013","N/A","ANDA","500 CAPSULE in 1 BOTTLE (42291-677-50)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"Piroxicam","60429-299-01","10 mg/1","CAPSULE","ORAL","ANDA074116","Golden State Medical Supply, Inc.","60429-299","piroxicam","PIROXICAM","HUMAN PRESCRIPTION DRUG","12/20/2011","N/A","ANDA","100 CAPSULE in 1 BOTTLE, PLASTIC (60429-299-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
