"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Sulindac","55289-930-10","200 mg/1","TABLET","ORAL","ANDA071795","PD-Rx Pharmaceuticals, Inc.","55289-930","Sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","04/03/1990","N/A","ANDA","10 TABLET in 1 BOTTLE, PLASTIC (55289-930-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Sulindac","55289-930-20","200 mg/1","TABLET","ORAL","ANDA071795","PD-Rx Pharmaceuticals, Inc.","55289-930","Sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","04/03/1990","N/A","ANDA","20 TABLET in 1 BOTTLE, PLASTIC (55289-930-20)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Sulindac","55289-930-30","200 mg/1","TABLET","ORAL","ANDA071795","PD-Rx Pharmaceuticals, Inc.","55289-930","Sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","04/03/1990","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (55289-930-30)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"SULINDAC","53489-478-01","150 mg/1","TABLET","ORAL","ANDA072050","Sun Pharmaceutical Industries, Inc.","53489-478","sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","09/04/2009","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (53489-478-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"SULINDAC","53489-478-02","150 mg/1","TABLET","ORAL","ANDA072050","Sun Pharmaceutical Industries, Inc.","53489-478","sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","09/04/2009","N/A","ANDA","50 TABLET in 1 BOTTLE, PLASTIC (53489-478-02)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"SULINDAC","53489-478-03","150 mg/1","TABLET","ORAL","ANDA072050","Sun Pharmaceutical Industries, Inc.","53489-478","sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","09/04/2009","N/A","ANDA","250 TABLET in 1 BOTTLE, PLASTIC (53489-478-03)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"SULINDAC","53489-478-05","150 mg/1","TABLET","ORAL","ANDA072050","Sun Pharmaceutical Industries, Inc.","53489-478","sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","09/04/2009","N/A","ANDA","500 TABLET in 1 BOTTLE, PLASTIC (53489-478-05)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"SULINDAC","53489-478-06","150 mg/1","TABLET","ORAL","ANDA072050","Sun Pharmaceutical Industries, Inc.","53489-478","sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","09/04/2009","N/A","ANDA","60 TABLET in 1 BOTTLE, PLASTIC (53489-478-06)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"SULINDAC","53489-478-10","150 mg/1","TABLET","ORAL","ANDA072050","Sun Pharmaceutical Industries, Inc.","53489-478","sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","09/04/2009","N/A","ANDA","1000 TABLET in 1 BOTTLE, PLASTIC (53489-478-10)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
"SULINDAC","53489-479-01","200 mg/1","TABLET","ORAL","ANDA072051","Sun Pharmaceutical Industries, Inc.","53489-479","sulindac","SULINDAC","HUMAN PRESCRIPTION DRUG","09/04/2009","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (53489-479-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2019"
