"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Tolmetin Sodium","0378-5200-01","400 mg/1","CAPSULE","ORAL","ANDA073393","Mylan Pharmaceuticals Inc.","0378-5200","tolmetin Sodium","TOLMETIN SODIUM","HUMAN PRESCRIPTION DRUG","05/27/1993","N/A","ANDA","100 CAPSULE in 1 BOTTLE, PLASTIC (0378-5200-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"Tolmetin Sodium","0378-0313-01","600 mg/1","TABLET, FILM COATED","ORAL","ANDA074473","Mylan Pharmaceuticals Inc.","0378-0313","tolmetin sodium","TOLMETIN SODIUM","HUMAN PRESCRIPTION DRUG","08/30/1994","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0313-01)","Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient], Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2018"
"TOLMETIN SODIUM  (E)","16590-987-30"," "," "," "," ","STAT RX USA LLC"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM  (E)","16590-987-60"," "," "," "," ","STAT RX USA LLC"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM  (E)","16590-987-90"," "," "," "," ","STAT RX USA LLC"," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-506-01"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-506-02"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-506-03"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-506-05"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-506-10"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-506-90"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-507-01"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-507-03"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-507-05"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
"TOLMETIN SODIUM (U)","53489-507-10"," "," "," "," ","Mutual Pharmaceutical Company, Inc."," "," "," "," "," ","N/A"," "," ","N/A","N/A","N/A"," "
